result	Gene	location	phenotype	inheritance
SUCCESS	COL11A2	6p21.32	Deafness, autosomal dominant 13|Deafness, autosomal recessive 53|Fibrochondrogenesis 2|Otospondylomegaepiphyseal dysplasia, autosomal dominant|Otospondylomegaepiphyseal dysplasia, autosomal recessive	AD|AR|AD, AR|AD|AR
SUCCESS	COL12A1	6q13-q14.1	?Ullrich congenital muscular dystrophy 2|Bethlem myopathy 2	AR|AD
SUCCESS	COL13A1	10q22.1	Myasthenic syndrome, congenital, 19	AR
ERROR	COL14A1			
SUCCESS	COL17A1	10q25.1	Epidermolysis bullosa, junctional 4, intermediate|Epithelial recurrent erosion dystrophy	AR|AD
SUCCESS	COL18A1	21q22.3	Glaucoma, primary closed-angle|Knobloch syndrome, type 1	AD|AR
SUCCESS	COL1A1	17q21.33	{Bone mineral density variation QTL, osteoporosis}|Caffey disease|Combined osteogenesis imperfecta and Ehlers-Danlos syndrome 1|Ehlers-Danlos syndrome, arthrochalasia type, 1|Osteogenesis imperfecta, type I|Osteogenesis imperfecta, type II|Osteogenesis imperfecta, type III|Osteogenesis imperfecta, type IV	AD|AD|AD|AD|AD|AD|AD|AD
SUCCESS	COL1A2	7q21.3	{Osteoporosis, postmenopausal}|Combined osteogenesis imperfecta and Ehlers-Danlos syndrome 2|Ehlers-Danlos syndrome, arthrochalasia type, 2|Ehlers-Danlos syndrome, cardiac valvular type|Osteogenesis imperfecta, type II|Osteogenesis imperfecta, type III|Osteogenesis imperfecta, type IV	AD|AD|AD|AR|AD|AD|AD
SUCCESS	COL25A1	4q25	Fibrosis of extraocular muscles, congenital, 5	AR
SUCCESS	COL27A1	9q32	Steel syndrome	AR
SUCCESS	COL2A1	12q13.11	?Epiphyseal dysplasia, multiple, with myopia and deafness|?Vitreoretinopathy with phalangeal epiphyseal dysplasia|Achondrogenesis, type II or hypochondrogenesis|Avascular necrosis of the femoral head|Czech dysplasia|Kniest dysplasia|Legg-Calve-Perthes disease|Osteoarthritis with mild chondrodysplasia|Platyspondylic skeletal dysplasia, Torrance type|SED congenita|SMED Strudwick type|Spondyloepiphyseal dysplasia, Stanescu type|Spondyloperipheral dysplasia|Stickler syndrome, type I|Stickler syndrome, type I, nonsyndromic ocular	AD|AD|AD|AD|AD|AD|AD|AD|AD|AD|AD|AD|AD|AD|AD
SUCCESS	COL3A1	2q32.2	Ehlers-Danlos syndrome, vascular type|Polymicrogyria with or without vascular-type EDS	AD|AR
SUCCESS	COL4A1	13q34	?Retinal arteries, tortuosity of|{Hemorrhage, intracerebral, susceptibility to}|Angiopathy, hereditary, with nephropathy, aneurysms, and muscle cramps|Brain small vessel disease with or without ocular anomalies|Microangiopathy and leukoencephalopathy, pontine, autosomal dominant	AD|.|AD|AD|AD
SUCCESS	COL4A2	13q34	{Hemorrhage, intracerebral, susceptibility to}|Brain small vessel disease 2	.|AD
SUCCESS	COL4A3	2q36.3	Alport syndrome 3A, autosomal dominant|Alport syndrome 3B, autosomal recessive|Hematuria, benign familial, 2	AD|.|AD
SUCCESS	COL4A4	2q36.3	Alport syndrome 2, autosomal recessive|Hematuria, familial benign, 1	AR|AD
SUCCESS	COL4A5	Xq22.3	Alport syndrome 1, X-linked	XLD
SUCCESS	COL4A6	Xq22.3	?Deafness, X-linked 6	XLR
SUCCESS	COL5A1	9q34.3	Ehlers-Danlos syndrome, classic type, 1|Fibromuscular dysplasia, multifocal	AD|AD
SUCCESS	COL5A2	2q32.2	Ehlers-Danlos syndrome, classic type, 2	AD
SUCCESS	COL6A1	21q22.3	Bethlem myopathy 1A|Ullrich congenital muscular dystrophy 1A	AD|AD, AR
SUCCESS	COL6A2	21q22.3	?Myosclerosis, congenital|Bethlem myopathy 1B|Ullrich congenital muscular dystrophy 1B	AR|AD, AR|AD, AR
SUCCESS	COL6A3	2q37.3	Bethlem myopathy 1C|Dystonia 27|Ullrich congenital muscular dystrophy 1C	AD, AR|AR|AD, AR
SUCCESS	COL7A1	3p21.31	Epidermolysis bullosa dystrophica inversa|Epidermolysis bullosa dystrophica, autosomal dominant|Epidermolysis bullosa dystrophica, autosomal recessive|Epidermolysis bullosa dystrophica, Bart type|Epidermolysis bullosa dystrophica, localisata variant|Epidermolysis bullosa pruriginosa|Epidermolysis bullosa, pretibial|Nail disorder, nonsyndromic congenital, 8|Transient bullous of the newborn	AR|AD|AR|AD|AR|AD, AR|AD, AR|AD|AD, AR
SUCCESS	COL8A2	1p34.3	Corneal dystrophy, Fuchs endothelial, 1|Corneal dystrophy, posterior polymorphous 2	AD|AD
SUCCESS	COL9A1	6q13	?Epiphyseal dysplasia, multiple, 6|Stickler syndrome, type IV	AD|AR
SUCCESS	COL9A2	1p34.2	?Stickler syndrome, type V|Epiphyseal dysplasia, multiple, 2	AR|AD
SUCCESS	COL9A3	20q13.33	{Intervertebral disc disease, susceptibility to}|Epiphyseal dysplasia, multiple, 3, with or without myopathy|Stickler syndrome, type VI	.|AD|AR
SUCCESS	COLEC10	8q24.12	3MC syndrome 3	AR
SUCCESS	COLEC11	2p25.3	3MC syndrome 2	AR
SUCCESS	COLGALT1	19p13.11	Brain small vessel disease 3	AR
SUCCESS	COLQ	3p25.1	Myasthenic syndrome, congenital, 5	AR
SUCCESS	COMP	19p13.11	Carpal tunnel syndrome 2|Epiphyseal dysplasia, multiple, 1|Pseudoachondroplasia	AD|AD|AD
SUCCESS	COPA	1q23.2	{Autoinflammation and autoimmunity, systemic, with immune dysregulation}	AD
SUCCESS	COPB1	11p15.2	Baralle-Macken syndrome	AR
SUCCESS	COPB2	3q23	?Microcephaly 19, primary, autosomal recessive|Osteoporosis, childhood- or juvenile-onset, with developmental delay	AR|AD
SUCCESS	COQ2	4q21.23	{Multiple system atrophy, susceptibility to}|Coenzyme Q10 deficiency, primary, 1	AD, AR|AR
SUCCESS	COQ4	9q34.11	Coenzyme Q10 deficiency, primary, 7|Spastic ataxia 10, autosomal recessive	AR|AR
SUCCESS	COQ5	12q24.31	?Coenzyme Q10 deficiency, primary, 9	AR
SUCCESS	COQ6	14q24.3	Coenzyme Q10 deficiency, primary, 6	AR
SUCCESS	COQ7	16p12.3	Coenzyme Q10 deficiency, primary, 8|Neuronopathy, distal hereditary motor, autosomal recessive 9	AR|AR
SUCCESS	COQ8A	1q42.13	Coenzyme Q10 deficiency, primary, 4	AR
SUCCESS	COQ8B	19q13.2	Nephrotic syndrome, type 9	AR
SUCCESS	COQ9	16q21	Coenzyme Q10 deficiency, primary, 5	AR
SUCCESS	CORIN	4p12	?Cardiomyopathy, familial hypertrophic, 30, atrial|Preeclampsia/eclampsia 5	AR|AD
SUCCESS	CORO1A	16p11.2	Immunodeficiency 8	AR
SUCCESS	COX10	17p12	Mitochondrial complex IV deficiency, nuclear type 3	AR
SUCCESS	COX14	12q13.12	?Mitochondrial complex IV deficiency, nuclear type 10	AR
SUCCESS	COX15	10q24.2	Mitochondrial complex IV deficiency, nuclear type 6	AR
SUCCESS	COX16	14q24.2	Mitochondrial complex IV deficiency, nuclear type 22	AR
SUCCESS	COX20	1q44	Mitochondrial complex IV deficiency, nuclear type 11	AR
SUCCESS	COX4I1	16q24.1	Mitochondrial complex IV deficiency, nuclear type 16	AR
SUCCESS	COX4I2	20q11.21	Exocrine pancreatic insufficiency, dyserythropoietic anemia, and calvarial hyperostosis	AR
SUCCESS	COX5A	15q24.2	Mitochondrial complex IV deficiency, nuclear type 20	AR
SUCCESS	COX6A1	12q24.31	Charcot-Marie-Tooth disease, recessive intermediate D	AR
SUCCESS	COX6A2	16p11.2	Mitochondrial complex IV deficiency, nuclear type 18	AR
SUCCESS	COX6B1	19q13.12	Mitochondrial complex IV deficiency, nuclear type 7	AR
SUCCESS	COX8A	11q13.1	?Mitochondrial complex IV deficiency, nuclear type 15	AR
SUCCESS	CP	3q24-q25.1	Aceruloplasminemia	AR
ERROR	CPA1			
SUCCESS	CPA6	8q13.2	Epilepsy, familial temporal lobe, 5|Febrile seizures, familial, 11	AD, AR|AR
SUCCESS	CPAMD8	19p13.11	Anterior segment dysgenesis 8	AR
ERROR	CPD			
SUCCESS	CPE	4q32.3	BDV syndrome	AR
SUCCESS	CPLANE1	5p13.2	Joubert syndrome 17|Orofaciodigital syndrome VI	AR|AR
SUCCESS	CPLX1	4p16.3	Developmental and epileptic encephalopathy 63	AR
SUCCESS	CPN1	10q24.2	Carboxypeptidase N deficiency	AR
ERROR	CPN2			
ERROR	CPO			
SUCCESS	CPOX	3q11.2	Coproporphyria|Harderoporphyria	AD, AR|AR
SUCCESS	CPS1	2q34	{Pulmonary hypertension, neonatal, susceptibility to}|Carbamoylphosphate synthetase I deficiency	.|AR
SUCCESS	CPSF3	2p25.1	Neurodevelopmental disorder with microcephaly, hypotonia, nystagmus, and seizures	AR
SUCCESS	CPT1A	11q13.3	CPT deficiency, hepatic, type IA	AR
SUCCESS	CPT1C	19q13.33	?Spastic paraplegia 73, autosomal dominant	AD
SUCCESS	CPT2	1p32.3	{Encephalopathy, acute, infection-induced, 4, susceptibility to}|CPT II deficiency, infantile|CPT II deficiency, lethal neonatal|CPT II deficiency, myopathic, stress-induced	AD, AR|AR|AR|AD, AR
SUCCESS	CR2	1q32.2	?Immunodeficiency, common variable, 7|{Systemic lupus erythematosus, susceptibility to, 9}	AR|.
SUCCESS	CRADD	12q22	Intellectual developmental disorder, autosomal recessive 34, with variant lissencephaly	AR
SUCCESS	CRAT	9q34.11	?Neurodegeneration with brain iron accumulation 8	AR
SUCCESS	CRB1	1q31.3	Leber congenital amaurosis 8|Pigmented paravenous chorioretinal atrophy|Retinitis pigmentosa-12	AR|AD|AR
SUCCESS	CRB2	9q33.3	Focal segmental glomerulosclerosis 9|Ventriculomegaly with cystic kidney disease	AR|AR
SUCCESS	CRBN	3p26.2	Intellectual developmental disorder, autosomal recessive 2	AR
SUCCESS	CREB3L1	11p11.2	Osteogenesis imperfecta, type XVI	AR
SUCCESS	CREB3L3	19p13.3	Hypertriglyceridemia 2	AD
SUCCESS	CREBBP	16p13.3	Menke-Hennekam syndrome 1|Rubinstein-Taybi syndrome 1	AD|AD
ERROR	CRH			
SUCCESS	CRIPT	2p21	Rothmund-Thomson syndrome, type 3	AR
ERROR	CRIPTO			
ERROR	CRKL			
SUCCESS	CRLF1	19p13.11	Cold-induced sweating syndrome 1	AR
ERROR	CRNN			
SUCCESS	CRPPA	7p21.2	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 7|Muscular dystrophy-dystroglycanopathy (limb-girdle), type C, 7	AR|AR
SUCCESS	CRTAP	3p22.3	Osteogenesis imperfecta, type VII	AR
SUCCESS	CRX	19q13.33	Cone-rod retinal dystrophy-2|Leber congenital amaurosis 7	AD|.
SUCCESS	CRY1	12q23.3	{Delayed sleep phase disorder, susceptibility to}	AD
SUCCESS	CRYAB	11q23.1	Cardiomyopathy, dilated, 1II|Cataract 16, multiple types|Myopathy, myofibrillar, 2|Myopathy, myofibrillar, fatal infantile hypertonic, alpha-B crystallin-related	AD|AD, AR|AD|AR
SUCCESS	CRYBA1	17q11.2	Cataract 10, multiple types	AD
SUCCESS	CRYBA2	2q35	?Cataract 42	AD
SUCCESS	CRYBA4	22q12.1	Cataract 23	AD
SUCCESS	CRYBB1	22q12.1	Cataract 17, multiple types	AD, AR
SUCCESS	CRYBB2	22q11.23	Cataract 3, multiple types	AD
SUCCESS	CRYBB3	22q11.23	Cataract 22	AD, AR
SUCCESS	CRYGB	2q33.3	Cataract 39, multiple types, autosomal dominant	AD
SUCCESS	CRYGC	2q33.3	Cataract 2, multiple types	AD
SUCCESS	CRYGD	2q33.3	Cataract 4, multiple types	AD
SUCCESS	CRYGS	3q27.3	Cataract 20, multiple types	AD
SUCCESS	CRYM	16p12.2	Deafness, autosomal dominant 40	AD
SUCCESS	CSF1R	5q32	Brain abnormalities, neurodegeneration, and dysosteosclerosis|Leukoencephalopathy, diffuse hereditary, with spheroids 1	AR|AD
SUCCESS	CSF2RA	Xp22.33	Surfactant metabolism dysfunction, pulmonary, 4	PR
SUCCESS	CSF2RB	22q12.3	Surfactant metabolism dysfunction, pulmonary, 5	AR
SUCCESS	CSF3R	1p34.3	?Neutrophilia, hereditary|Neutropenia, severe congenital, 7, autosomal recessive	AD|AR
SUCCESS	CSGALNACT1	8p21.3	Skeletal dysplasia, mild, with joint laxity and advanced bone age	AR
SUCCESS	CSNK1D	17q25.3	Advanced sleep-phase syndrome, familial, 2	AD
SUCCESS	CSNK2A1	20p13	Okur-Chung neurodevelopmental syndrome	AD
SUCCESS	CSNK2B	6p21.33	Poirier-Bienvenu neurodevelopmental syndrome	AD
SUCCESS	CSPP1	8q13.1-q13.2	Joubert syndrome 21	AR
SUCCESS	CSRP3	11p15.1	?Cardiomyopathy, dilated, 1M|Cardiomyopathy, hypertrophic, 12	.|AD
SUCCESS	CST3	20p11.21	{Macular degeneration, age-related, 11}|Cerebral amyloid angiopathy	.|AD
SUCCESS	CST6	11q13.1	?Ectodermal dysplasia 15, hypohidrotic/hair type	AR
SUCCESS	CSTA	3q21.1	Peeling skin syndrome 4	AR
SUCCESS	CSTB	21q22.3	Epilepsy, progressive myoclonic 1A (Unverricht and Lundborg)	AR
SUCCESS	CTBP1	4p16.3	Hypotonia, ataxia, developmental delay, and tooth enamel defect syndrome	AD
SUCCESS	CTC1	17p13.1	Cerebroretinal microangiopathy with calcifications and cysts	AR
SUCCESS	CTCF	16q22.1	Intellectual developmental disorder, autosomal dominant 21	AD
SUCCESS	CTDP1	18q23	Congenital cataracts, facial dysmorphism, and neuropathy	AR
SUCCESS	CTH	1p31.1	Cystathioninuria	AR
SUCCESS	CTHRC1	8q22.3	Barrett esophagus/esophageal adenocarcinoma	.
SUCCESS	CTLA4	2q33.2	{Celiac disease, susceptibility to, 3}|{Diabetes mellitus, insulin-dependent, 12}|{Hashimoto thyroiditis}|{Systemic lupus erythematosus, susceptibility to}|Immune dysregulation with autoimmunity, immunodeficiency, and lymphoproliferation	.|.|AD|AD|AD
SUCCESS	CTNNA2	2p12	Cortical dysplasia, complex, with other brain malformations 9	AR
SUCCESS	CTNNA3	10q21.3	Arrhythmogenic right ventricular dysplasia 13	AD
SUCCESS	CTNNB1	3p22.1	Colorectal cancer, somatic|Exudative vitreoretinopathy 7|Hepatocellular carcinoma, somatic|Medulloblastoma, somatic|Neurodevelopmental disorder with spastic diplegia and visual defects|Ovarian cancer, somatic|Pilomatricoma, somatic	.|AD|.|.|AD|.|.
SUCCESS	CTNNBL1	20q11.23	?Immunodeficiency 99 with hypogammaglobulinemia and autoimmune cytopenias	AR
SUCCESS	CTNND1	11q12.1	Blepharocheilodontic syndrome 2	AD
ERROR	CTNND2			
SUCCESS	CTNS	17p13.2	Cystinosis, atypical nephropathic|Cystinosis, late-onset juvenile or adolescent nephropathic|Cystinosis, nephropathic|Cystinosis, ocular nonnephropathic	AR|AR|AR|AR
SUCCESS	CTPS1	1p34.2	Immunodeficiency 24	AR
SUCCESS	CTRC	1p36.21	{Pancreatitis, chronic, susceptibility to}	AD
SUCCESS	CTSA	20q13.12	Galactosialidosis	AR
SUCCESS	CTSB	8p23.1	Keratolytic winter erythema	AD
SUCCESS	CTSC	11q14.2	Haim-Munk syndrome|Papillon-Lefevre syndrome|Periodontitis 1, juvenile	AR|AR|AR
SUCCESS	CTSD	11p15.5	Ceroid lipofuscinosis, neuronal, 10	AR
SUCCESS	CTSF	11q13.2	Ceroid lipofuscinosis, neuronal, 13 (Kufs type)	AR
ERROR	CTSH			
SUCCESS	CTSK	1q21.3	Pycnodysostosis	AR
ERROR	CTSO			
SUCCESS	CTU2	16q24.3	Microcephaly, facial dysmorphism, renal agenesis, and ambiguous genitalia syndrome	AR
SUCCESS	CUBN	10p13	[Proteinuria, chronic benign]|Imerslund-Grasbeck syndrome 1	AR|AR
SUCCESS	CUL3	2q36.2	Neurodevelopmental disorder with or without autism or seizures|Pseudohypoaldosteronism, type IIE	AD|AD
SUCCESS	CUL4B	Xq24	Intellectual developmental disorder, X-linked syndromic, Cabezas type	XLR
SUCCESS	CUL7	6p21.1	3-M syndrome 1	AR
SUCCESS	CUX1	7q22.1	Global developmental delay with or without impaired intellectual development	AD
SUCCESS	CUX2	12q24.11-q24.12	Developmental and epileptic encephalopathy 67	AD
SUCCESS	CWC27	5q12.3	Retinitis pigmentosa with or without skeletal anomalies	AR
SUCCESS	CWF19L1	10q24.31	Spinocerebellar ataxia, autosomal recessive 17	AR
SUCCESS	CXCR2	2q35	?WHIM syndrome 2	AR
SUCCESS	CXCR4	2q22.1	Myelokathexis, isolated|WHIM syndrome 1	AD|AD
SUCCESS	CYB561	17q23.3	Orthostatic hypotension 2	AR
SUCCESS	CYB5A	18q22.3	Methemoglobinemia and ambiguous genitalia	AR
SUCCESS	CYB5R3	22q13.2	Methemoglobinemia, type I|Methemoglobinemia, type II	AR|AR
SUCCESS	CYBA	16q24.2	Chronic granulomatous disease 4, autosomal recessive	AR
SUCCESS	CYBB	Xp21.1-p11.4	Chronic granulomatous disease, X-linked|Immunodeficiency 34, mycobacteriosis, X-linked	XLR|XLR
SUCCESS	CYBC1	17q25.3	Chronic granulomatous disease 5, autosomal recessive	AR
SUCCESS	CYC1	8q24.3	Mitochondrial complex III deficiency, nuclear type 6	AR
SUCCESS	CYCS	7p15.3	Thrombocytopenia 4	AD
SUCCESS	CYFIP2	5q33.3	Developmental and epileptic encephalopathy 65	AD
SUCCESS	CYLD	16q12.1	?Frontotemporal dementia and/or amyotrophic lateral sclerosis 8|Brooke-Spiegler syndrome|Cylindromatosis, familial|Trichoepithelioma, multiple familial, 1	AD|AD|AD|AD
SUCCESS	CYP11A1	15q24.1	Adrenal insufficiency, congenital, with 46XY sex reversal, partial or complete	.
SUCCESS	CYP11B1	8q24.3	Adrenal hyperplasia, congenital, due to 11-beta-hydroxylase deficiency|Aldosteronism, glucocorticoid-remediable	AR|AD
SUCCESS	CYP11B2	8q24.3	{Low renin hypertension, susceptibility to}|Aldosterone to renin ratio raised|Hypoaldosteronism, congenital, due to CMO I deficiency|Hypoaldosteronism, congenital, due to CMO II deficiency	.|.|AR|AR
SUCCESS	CYP17A1	10q24.32	17-alpha-hydroxylase/17,20-lyase deficiency|17,20-lyase deficiency, isolated	AR|AR
SUCCESS	CYP19A1	15q21.2	Aromatase deficiency|Aromatase excess syndrome	.|AD
SUCCESS	CYP1B1	2p22.2	Anterior segment dysgenesis 6, multiple subtypes|Glaucoma 3A, primary open angle, congenital, juvenile, or adult onset	AR|AR
SUCCESS	CYP21A2	6p21.33	Adrenal hyperplasia, congenital, due to 21-hydroxylase deficiency|Hyperandrogenism, nonclassic type, due to 21-hydroxylase deficiency	AR|AR
SUCCESS	CYP24A1	20q13.2	Hypercalcemia, infantile, 1	AR
SUCCESS	CYP26B1	2p13.2	Craniosynostosis with radiohumeral fusions and other skeletal and craniofacial anomalies	.
SUCCESS	CYP26C1	10q23.33	Focal facial dermal dysplasia 4	AR
SUCCESS	CYP27A1	2q35	Cerebrotendinous xanthomatosis	AR
SUCCESS	CYP27B1	12q14.1	Vitamin D-dependent rickets, type I	AR
SUCCESS	CYP2R1	11p15.2	Rickets due to defect in vitamin D 25-hydroxylation deficiency	AR
SUCCESS	CYP2U1	4q25	Spastic paraplegia 56, autosomal recessive	AR
SUCCESS	CYP3A4	7q22.1	Vitamin D-dependent rickets, type 3	AD
SUCCESS	CYP4F22	19p13.12	Ichthyosis, congenital, autosomal recessive 5	AR
SUCCESS	CYP4V2	4q35.1-q35.2	Bietti crystalline corneoretinal dystrophy	AR
ERROR	CYP7A1			
SUCCESS	CYP7B1	8q12.3	Bile acid synthesis defect, congenital, 3|Spastic paraplegia 5A, autosomal recessive	AR|AR
ERROR	CYSLTR2			
SUCCESS	D2HGDH	2q37.3	D-2-hydroxyglutaric aciduria	AR
SUCCESS	DAAM2	6p21.2	Nephrotic syndrome, type 24	AR
SUCCESS	DAB1	1p32.2-p32.1	Spinocerebellar ataxia 37	AD
SUCCESS	DACT1	14q23.1	Townes-Brocks syndrome 2	AD
SUCCESS	DAG1	3p21.31	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 9|Muscular dystrophy-dystroglycanopathy (limb-girdle), type C, 9	AR|AR
SUCCESS	DALRD3	3p21.31	?Developmental and epileptic encephalopathy 86	AR
ERROR	DAO			
SUCCESS	DAOA	13q33.2	{Schizophrenia}	AD
SUCCESS	DARS1	2q21.3	Hypomyelination with brainstem and spinal cord involvement and leg spasticity	AR
SUCCESS	DARS2	1q25.1	Leukoencephalopathy with brain stem and spinal cord involvement and lactate elevation	AR
ERROR	DAXX			
SUCCESS	DBH	9q34.2	Orthostatic hypotension 1, due to DBH deficiency	AR
ERROR	DBP			
SUCCESS	DBR1	3q22.3	{Encephalitis, acute, infection (viral)-induced, susceptibility to, 11}|Xerosis and growth failure with immune and pulmonary dysfunction syndrome	AR|AR
SUCCESS	DBT	1p21.2	Maple syrup urine disease, type II	AR
SUCCESS	DCAF17	2q31.1	Woodhouse-Sakati syndrome	AR
SUCCESS	DCAF8	1q23.2	?Giant axonal neuropathy 2, autosomal dominant	AD
SUCCESS	DCC	18q21.2	Colorectal cancer, somatic|Esophageal carcinoma, somatic|Gaze palsy, familial horizontal, with progressive scoliosis, 2|Mirror movements 1 and/or agenesis of the corpus callosum	.|.|AR|AD
SUCCESS	DCDC2	6p22.3	?Deafness, autosomal recessive 66|Nephronophthisis 19|Sclerosing cholangitis, neonatal	AR|AR|AR
SUCCESS	DCHS1	11p15.4	Mitral valve prolapse 2|Van Maldergem syndrome 1	AD|AR
SUCCESS	DCLRE1B	1p13.2	Dyskeratosis congenita, autosomal recessive 8	AR
SUCCESS	DCLRE1C	10p13	Omenn syndrome|Severe combined immunodeficiency, Athabascan type	AR|AR
SUCCESS	DCN	12q21.33	Corneal dystrophy, congenital stromal	AD
SUCCESS	DCPS	11q24.2	Al-Raqad syndrome	AR
SUCCESS	DCT	13q32.1	Oculocutaneous albinism, type VIII	AR
SUCCESS	DCTN1	2p13.1	{Amyotrophic lateral sclerosis, susceptibility to}|Neuronopathy, distal hereditary motor, autosomal dominant 14|Perry syndrome	AD, AR|AD|AD
ERROR	DCTN4			
SUCCESS	DCX	Xq23	Lissencephaly, X-linked|Subcortical laminal heterotopia, X-linked	XL|XL
SUCCESS	DDB1	11q12.2	White-Kernohan syndrome	AD
SUCCESS	DDB2	11p11.2	Xeroderma pigmentosum, group E, DDB-negative subtype	AR
SUCCESS	DDC	7p12.2-p12.1	Aromatic L-amino acid decarboxylase deficiency	AR
SUCCESS	DDHD1	14q22.1	Spastic paraplegia 28, autosomal recessive	AR
SUCCESS	DDHD2	8p11.23	Spastic paraplegia 54, autosomal recessive	AR
ERROR	DDIT3			
SUCCESS	DDOST	1p36.12	Congenital disorder of glycosylation, type Ir	AR
SUCCESS	DDR2	1q23.3	Spondylometaepiphyseal dysplasia, short limb-hand type|Warburg-Cinotti syndrome	AR|AD
SUCCESS	DDRGK1	20p13	Spondyloepimetaphyseal dysplasia, Shohat type	AR
SUCCESS	DDX11	12p11.21	Warsaw breakage syndrome	AR
SUCCESS	DDX3X	Xp11.4	Intellectual developmental disorder, X-linked syndromic, Snijders Blok type	XLD, XLR
SUCCESS	DDX41	5q35.3	{Myeloproliferative/lymphoproliferative neoplasms, familial (multiple types), susceptibility to}	AD
SUCCESS	DDX59	1q32.1	Orofaciodigital syndrome V	AR
SUCCESS	DDX6	11q23.3	Intellectual developmental disorder with impaired language and dysmorphic facies	AD
SUCCESS	DEAF1	11p15.5	Neurodevelopmental disorder with hypotonia, impaired expressive language, and with or without seizures|Vulto-van Silfout-de Vries syndrome	AR|AD
SUCCESS	DEF6	6p21.31	Immunodeficiency 87 and autoimmunity	AR
ERROR	DEFA6			
SUCCESS	DEGS1	1q42.11	Leukodystrophy, hypomyelinating, 18	AR
SUCCESS	DENND5A	11p15.4	Developmental and epileptic encephalopathy 49	AR
ERROR	DEPDC1B			
SUCCESS	DEPDC5	22q12.2-q12.3	Developmental and epileptic encephalopathy 111|Epilepsy, familial focal, with variable foci 1	AR|AD
SUCCESS	DES	2q35	Cardiomyopathy, dilated, 1I|Myopathy, myofibrillar, 1|Scapuloperoneal syndrome, neurogenic, Kaeser type	AD|AD, AR|AD
SUCCESS	DGAT1	8q24.3	Diarrhea 7, protein-losing enteropathy type	AR
ERROR	DGCR2			
ERROR	DGCR6			
ERROR	DGCR8			
SUCCESS	DGKE	17q22	{Hemolytic uremic syndrome, atypical, susceptibility to, 7}|Nephrotic syndrome, type 7	AR|AR
SUCCESS	DGUOK	2p13.1	Mitochondrial DNA depletion syndrome 3 (hepatocerebral type)|Portal hypertension, noncirrhotic, 1|Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal recessive 4	AR|AR|AR
SUCCESS	DHCR24	1p32.3	Desmosterolosis	AR
SUCCESS	DHCR7	11q13.4	Smith-Lemli-Opitz syndrome	AR
SUCCESS	DHDDS	1p36.11	?Congenital disorder of glycosylation, type 1bb|Developmental delay and seizures with or without movement abnormalities|Retinitis pigmentosa 59	AR|AD|AR
SUCCESS	DHFR	5q14.1	Megaloblastic anemia due to dihydrofolate reductase deficiency	AR
SUCCESS	DHH	12q13.12	46XY gonadal dysgenesis with minifascicular neuropathy|46XY sex reversal 7	AR|AR
SUCCESS	DHODH	16q22.2	Miller syndrome	AR
SUCCESS	DHPS	19p13.13	Neurodevelopmental disorder with seizures and speech and walking impairment	AR
SUCCESS	DHTKD1	10p14	?Charcot-Marie-Tooth disease, axonal, type 2Q|Alpha-aminoadipic and alpha-ketoadipic aciduria	AD|AR
SUCCESS	DHX16	6p21.33	Neuromuscular disease and ocular or auditory anomalies with or without seizures	AD
SUCCESS	DHX30	3p21.31	Neurodevelopmental disorder with variable motor and speech impairment	AD
SUCCESS	DHX37	12q24.31	46XY sex reversal 11|Neurodevelopmental disorder with brain anomalies and with or without vertebral or cardiac anomalies	AD|AR
SUCCESS	DHX38	16q22.2	Retinitis pigmentosa 84	AR
SUCCESS	DIABLO	12q24.31	Deafness, autosomal dominant 64	AD
SUCCESS	DIAPH1	5q31.3	Deafness, autosomal dominant 1, with or without thrombocytopenia|Seizures, cortical blindness, microcephaly syndrome	AD|AR
SUCCESS	DIAPH3	13q21.2	Auditory neuropathy, autosomal dominant 1	AD
SUCCESS	DICER1	14q32.13	GLOW syndrome, somatic mosaic|Goiter, multinodular 1, with or without Sertoli-Leydig cell tumors|Pleuropulmonary blastoma|Rhabdomyosarcoma, embryonal, 2	.|AD|AD|.
SUCCESS	DIP2B	12q13.12	Intellectual developmental disorder, autosomal dominant, FRA12A type	AD
SUCCESS	DIS3L2	2q37.1	Perlman syndrome	AR
SUCCESS	DISC1	1q42.2	{Schizophrenia 9, susceptibility to}	.
ERROR	DISP1			
SUCCESS	DKC1	Xq28	?Cataracts, hearing impairment, nephrotic syndrome, and enterocolitis 1|Dyskeratosis congenita, X-linked	XLD|XLR
ERROR	DKK1			
SUCCESS	DLAT	11q23.1	Pyruvate dehydrogenase E2 deficiency	AR
SUCCESS	DLC1	8p22	Colorectal cancer, somatic	.
SUCCESS	DLD	7q31.1	Dihydrolipoamide dehydrogenase deficiency	AR
ERROR	DLEC1			
ERROR	DLG1			
SUCCESS	DLG3	Xq13.1	Intellectual developmental disorder, X-linked 90	XLR
SUCCESS	DLG4	17p13.1	Intellectual developmental disorder, autosomal dominant 62	AD
ERROR	DLK1			
SUCCESS	DLL1	6q27	Neurodevelopmental disorder with nonspecific brain abnormalities and with or without seizures	AD
SUCCESS	DLL3	19q13.2	Spondylocostal dysostosis 1, autosomal recessive	AR
SUCCESS	DLL4	15q15.1	Adams-Oliver syndrome 6	AD
